Country,Financial closure year,total_projects,total_investment,resilient_projects,resilient_investment,resilient_share_count,resilient_share_value
Côte d'Ivoire,2024,1,60.68,1.0,60.68,1.0,1.0
Djibouti,2000,1,50.0,0.0,0.0,0.0,0.0
Djibouti,2002,1,0.0,0.0,0.0,0.0,
Djibouti,2004,1,130.0,0.0,0.0,0.0,0.0
Djibouti,2007,1,396.0,0.0,0.0,0.0,0.0
Djibouti,2016,1,28.0,0.0,0.0,0.0,0.0
Djibouti,2020,1,123.5,1.0,123.5,1.0,1.0
Djibouti,2023,2,207.0,1.0,0.0,0.5,0.0
Dominican Republic,2000,6,856.9,0.0,0.0,0.0,0.0
Dominican Republic,2001,1,200.0,0.0,0.0,0.0,0.0
Dominican Republic,2002,1,400.0,0.0,0.0,0.0,0.0
Dominican Republic,2003,3,364.0,0.0,0.0,0.0,0.0
Dominican Republic,2006,1,250.0,0.0,0.0,0.0,0.0
Dominican Republic,2009,2,629.9,0.0,0.0,0.0,0.0
Dominican Republic,2010,1,30.0,0.0,0.0,0.0,0.0
Dominican Republic,2011,5,465.7,4.0,402.7,0.8,0.8647197766802662
Dominican Republic,2012,2,90.0,1.0,50.0,0.5,0.5555555555555556
Dominican Republic,2013,2,73.4,0.0,0.0,0.0,0.0
Dominican Republic,2015,1,204.5,1.0,204.5,1.0,1.0
Dominican Republic,2017,1,125.0,1.0,125.0,1.0,1.0
Dominican Republic,2018,2,166.05,2.0,166.05,1.0,1.0
Dominican Republic,2019,1,78.0,1.0,78.0,1.0,1.0
Dominican Republic,2021,2,45.0,2.0,45.0,1.0,1.0
Dominican Republic,2022,3,310.0,3.0,310.0,1.0,1.0
Dominican Republic,2023,11,858.02,11.0,858.02,1.0,1.0
Dominican Republic,2024,4,2526.1,2.0,123.6,0.5,0.0489291793674043
Ecuador,2000,1,0.0,1.0,0.0,1.0,
Ecuador,2001,1,500.0,1.0,500.0,1.0,1.0
Ecuador,2002,1,0.0,0.0,0.0,0.0,
Ecuador,2003,1,302.0,1.0,302.0,1.0,1.0
Ecuador,2004,4,120.0,2.0,10.0,0.5,0.08333333333333333
Ecuador,2005,3,634.0,2.0,49.0,0.6666666666666666,0.07728706624605679
Ecuador,2006,5,695.0,1.0,26.0,0.2,0.03741007194244604
Ecuador,2007,1,200.0,0.0,0.0,0.0,0.0
Ecuador,2013,2,136.7,2.0,136.7,1.0,1.0
Ecuador,2016,2,776.4,1.0,111.4,0.5,0.14348274085522927
Ecuador,2017,1,111.4,1.0,111.4,1.0,1.0
Ecuador,2018,2,403.49,1.0,26.49,0.5,0.06565218468859203
Ecuador,2019,1,100.0,0.0,0.0,0.0,0.0
Ecuador,2020,1,500.0,0.0,0.0,0.0,0.0
Ecuador,2021,1,280.0,0.0,0.0,0.0,0.0
Ecuador,2023,3,401.0,1.0,181.0,0.3333333333333333,0.4513715710723192
"Egypt, Arab Rep.",2000,5,1195.3,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",2001,4,948.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",2005,4,978.2,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",2007,1,469.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",2008,1,640.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",2010,1,475.0,1.0,475.0,1.0,1.0
"Egypt, Arab Rep.",2012,1,276.0,1.0,276.0,1.0,1.0
"Egypt, Arab Rep.",2015,1,0.0,1.0,0.0,1.0,
"Egypt, Arab Rep.",2016,3,109.69,3.0,109.69,1.0,1.0
"Egypt, Arab Rep.",2017,25,2898.0299999999997,24.0,2400.0299999999997,0.96,0.8281591287874867
"Egypt, Arab Rep.",2019,2,485.0,1.0,335.0,0.5,0.6907216494845361
"Egypt, Arab Rep.",2020,1,5018.85,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",2021,1,48.5,1.0,48.5,1.0,1.0
"Egypt, Arab Rep.",2022,3,1039.0,2.0,1039.0,0.6666666666666666,1.0
"Egypt, Arab Rep.",2023,5,2513.22,2.0,789.4,0.4,0.31409904425398494
"Egypt, Arab Rep.",2024,3,176.65,2.0,173.3,0.6666666666666666,0.9810359467874328
El Salvador,2002,2,127.4,2.0,127.4,1.0,1.0
El Salvador,2015,5,156.73999999999998,5.0,156.73999999999998,1.0,1.0
El Salvador,2017,1,160.0,1.0,160.0,1.0,1.0
El Salvador,2018,1,143.0,1.0,143.0,1.0,1.0
El Salvador,2019,1,877.0,0.0,0.0,0.0,0.0
El Salvador,2020,1,7.8,1.0,7.8,1.0,1.0
El Salvador,2022,1,25.3,1.0,25.3,1.0,1.0
Equatorial Guinea,2024,1,285.3,0.0,0.0,0.0,0.0
Eswatini,2021,1,115.0,1.0,115.0,1.0,1.0
Ethiopia,2009,2,4.0,0.0,0.0,0.0,0.0
Ethiopia,2010,1,0.0,0.0,0.0,0.0,
Ethiopia,2014,1,120.0,1.0,120.0,1.0,1.0
Ethiopia,2021,1,271.0,1.0,271.0,1.0,1.0
Ethiopia,2023,1,257.4,0.0,0.0,0.0,0.0
Fiji,2003,1,0.0,0.0,0.0,0.0,
Fiji,2013,1,17.8,0.0,0.0,0.0,0.0
Fiji,2017,1,57.41,0.0,0.0,0.0,0.0
Gabon,2003,3,89.5,0.0,0.0,0.0,0.0
Gabon,2004,2,0.0,0.0,0.0,0.0,
Gabon,2005,1,91.77,0.0,0.0,0.0,0.0
Gabon,2007,2,93.4,0.0,0.0,0.0,0.0
Gabon,2011,1,234.0,1.0,234.0,1.0,1.0
Gabon,2012,2,834.0,1.0,134.0,0.5,0.1606714628297362
Gabon,2016,1,349.7,0.0,0.0,0.0,0.0
Gabon,2019,2,507.0,1.0,167.0,0.5,0.32938856015779094
Gabon,2020,1,222.03,0.0,0.0,0.0,0.0
Gabon,2021,1,210.96,1.0,210.96,1.0,1.0
Gabon,2022,2,335.56,2.0,335.56,1.0,1.0
Gabon,2023,1,30.0,1.0,30.0,1.0,1.0
"Gambia, The",2001,1,6.6,0.0,0.0,0.0,0.0
"Gambia, The",2006,1,0.0,0.0,0.0,0.0,
"Gambia, The",2007,1,35.0,0.0,0.0,0.0,0.0
"Gambia, The",2012,1,700.0,0.0,0.0,0.0,0.0
Georgia,2000,8,11.5,3.0,0.0,0.375,0.0
Georgia,2004,1,27.0,1.0,27.0,1.0,1.0
Georgia,2006,4,357.0,0.0,0.0,0.0,0.0
Georgia,2007,8,813.4,6.0,753.9,0.75,0.9268502581755593
Georgia,2008,3,395.0,0.0,0.0,0.0,0.0
Georgia,2009,1,32.0,1.0,32.0,1.0,1.0
Georgia,2011,3,417.0,3.0,417.0,1.0,1.0
Georgia,2015,1,417.0,1.0,417.0,1.0,1.0
Georgia,2017,2,90.0,2.0,90.0,1.0,1.0
Georgia,2019,2,107.4,1.0,14.4,0.5,0.1340782122905028
Georgia,2024,4,260.64000000000004,3.0,235.22,0.75,0.9024708410067525
Ghana,2000,2,10.0,0.0,0.0,0.0,0.0
Ghana,2003,2,0.0,0.0,0.0,0.0,
Ghana,2005,2,590.0,1.0,0.0,0.5,0.0
Ghana,2007,4,780.0,0.0,0.0,0.0,0.0
Ghana,2008,1,900.0,0.0,0.0,0.0,0.0
Ghana,2009,1,140.0,0.0,0.0,0.0,0.0
Ghana,2012,2,826.0,1.0,126.0,0.5,0.15254237288135594
Ghana,2013,1,440.0,0.0,0.0,0.0,0.0
Ghana,2014,3,950.0,1.0,43.0,0.3333333333333333,0.045263157894736845
Ghana,2016,4,3205.0,0.0,0.0,0.0,0.0
Ghana,2017,2,550.0,0.0,0.0,0.0,0.0
Ghana,2018,1,42.0,0.0,0.0,0.0,0.0
Ghana,2021,1,0.0,1.0,0.0,1.0,
Ghana,2023,1,137.0,0.0,0.0,0.0,0.0
Guatemala,2000,2,50.0,0.0,0.0,0.0,0.0
Guatemala,2002,1,60.0,1.0,60.0,1.0,1.0
Guatemala,2005,1,41.6,1.0,41.6,1.0,1.0
Guatemala,2006,1,37.0,1.0,37.0,1.0,1.0
Guatemala,2007,1,226.8,1.0,226.8,1.0,1.0
Guatemala,2008,1,6.7,1.0,6.7,1.0,1.0
Guatemala,2010,1,758.0,0.0,0.0,0.0,0.0
Guatemala,2012,2,180.0,2.0,180.0,1.0,1.0
Guatemala,2014,7,530.2,5.0,410.2,0.7142857142857143,0.7736703130894002
Guatemala,2015,2,94.0,2.0,94.0,1.0,1.0
Guatemala,2019,1,56.4,1.0,56.4,1.0,1.0
Guatemala,2023,1,70.0,0.0,0.0,0.0,0.0
Guatemala,2024,1,64.0,1.0,64.0,1.0,1.0
Guinea,2009,1,159.0,0.0,0.0,0.0,0.0
Guinea,2012,1,700.0,0.0,0.0,0.0,0.0
Guinea,2018,1,121.0,0.0,0.0,0.0,0.0
Guinea,2020,2,209.5,1.0,76.5,0.5,0.36515513126491644
Guinea,2023,1,227.45,0.0,0.0,0.0,0.0
Guinea,2024,1,0.0,1.0,0.0,1.0,
Guinea-Bissau,2023,1,29.08,0.0,0.0,0.0,0.0
"Guyana, CR",2002,1,0.0,1.0,0.0,1.0,
"Guyana, CR",2024,1,14.0,0.0,0.0,0.0,0.0
Haiti,2003,1,5.52,0.0,0.0,0.0,0.0
Haiti,2009,1,1.0,1.0,1.0,1.0,1.0
Haiti,2011,1,0.0,0.0,0.0,0.0,
Haiti,2014,1,57.21,0.0,0.0,0.0,0.0
Honduras,2000,1,120.0,0.0,0.0,0.0,0.0
Honduras,2001,1,207.9,1.0,207.9,1.0,1.0
Honduras,2003,2,168.8,1.0,3.8,0.5,0.022511848341232224
Honduras,2010,2,318.8,2.0,318.8,1.0,1.0
Honduras,2011,2,144.5,2.0,144.5,1.0,1.0
Honduras,2013,5,1397.3,2.0,248.0,0.4,0.17748514993201175
Honduras,2014,7,576.8,5.0,554.3,0.7142857142857143,0.9609916782246879
Honduras,2015,4,517.9,3.0,430.0,0.75,0.8302761150801313
Honduras,2016,4,364.3,4.0,364.3,1.0,1.0
Honduras,2017,3,259.6,3.0,259.6,1.0,1.0
Honduras,2020,1,209.0,0.0,0.0,0.0,0.0
Honduras,2023,1,370.0,1.0,370.0,1.0,1.0
India,2000,11,2003.1799999999998,2.0,77.88,0.18181818181818182,0.038878183687936184
India,2001,18,2619.79,4.0,584.8,0.2222222222222222,0.22322399887013844
India,2002,13,588.6,3.0,15.0,0.23076923076923078,0.0254841997961264
India,2003,31,1400.51,6.0,444.74,0.1935483870967742,0.3175557475491071
India,2004,21,3663.92,7.0,465.93,0.3333333333333333,0.12716707788379658
India,2005,24,2508.7,6.0,90.78999999999999,0.25,0.03619005859608562
India,2006,77,19921.17,11.0,2541.22,0.14285714285714285,0.12756379268888324
India,2007,62,17172.420000000002,16.0,3974.6000000000004,0.25806451612903225,0.23145252678422726
India,2008,47,17581.94,13.0,1427.32,0.2765957446808511,0.08118103007972954
India,2009,49,28383.82,4.0,1002.78,0.08163265306122448,0.03532928266878806
India,2010,107,44824.97,15.0,1257.75,0.14018691588785046,0.028059137574436746
India,2011,125,35616.56,43.0,2694.45,0.344,0.07565160700528069
India,2012,124,28953.63,43.0,3627.7,0.3467741935483871,0.1252934433437189
India,2013,53,6080.19,29.0,1603.28,0.5471698113207547,0.2636891281357984
India,2014,41,3879.2,23.0,981.86,0.5609756097560976,0.25310888843060425
India,2015,40,4176.05,30.0,2043.74,0.75,0.48939548137594135
India,2016,31,3835.08,12.0,1159.57,0.3870967741935484,0.3023587513167913
India,2017,47,4753.71,21.0,1221.01,0.44680851063829785,0.25685412025554777
India,2018,57,8299.01,17.0,2067.88,0.2982456140350877,0.24917188917714284
India,2019,32,7368.28,8.0,898.44,0.25,0.12193347701227425
