Country,Financial closure year,total_investment,total_projects,green_investment,green_projects,green_share_value,green_share_count,total_investment_broad,total_projects_broad,green_investment_broad,green_projects_broad,green_share_value_broad,green_share_count_broad
India,2014,867.33,19.0,867.33,19.0,1.0,1.0,867.33,19,867.33,19.0,1.0,1.0
India,2015,2086.94,28.0,2012.24,27.0,0.9642059666305691,0.9642857142857143,2086.94,28,2012.24,27.0,0.9642059666305691,0.9642857142857143
India,2016,1142.78,11.0,1142.78,11.0,1.0,1.0,1142.78,11,1142.78,11.0,1.0,1.0
India,2017,1165.13,18.0,1165.13,18.0,1.0,1.0,1165.13,18,1165.13,18.0,1.0,1.0
India,2018,1453.96,14.0,1453.96,14.0,1.0,1.0,1453.96,14,1453.96,14.0,1.0,1.0
India,2019,856.35,7.0,856.35,7.0,1.0,1.0,856.35,7,856.35,7.0,1.0,1.0
India,2020,3028.45,10.0,1544.45,9.0,0.5099803529858509,0.9,3028.45,10,1544.45,9.0,0.5099803529858509,0.9
India,2021,1598.49,8.0,1598.49,8.0,1.0,1.0,1598.49,8,1598.49,8.0,1.0,1.0
India,2022,1421.26,4.0,1421.26,4.0,1.0,1.0,1421.26,4,1421.26,4.0,1.0,1.0
India,2023,4316.1,8.0,4316.1,8.0,1.0,1.0,4316.1,8,4316.1,8.0,1.0,1.0
India,2024,2429.89,16.0,2429.89,16.0,1.0,1.0,2429.89,16,2429.89,16.0,1.0,1.0
Indonesia,2010,2300.0,2.0,0.0,0.0,0.0,0.0,2300.0,2,0.0,0.0,0.0,0.0
Indonesia,2011,161.0,2.0,35.0,1.0,0.21739130434782608,0.5,161.0,2,35.0,1.0,0.21739130434782608,0.5
Indonesia,2012,1901.0,10.0,1901.0,10.0,1.0,1.0,1901.0,10,1901.0,10.0,1.0,1.0
Indonesia,2013,1936.7,4.0,36.7,2.0,0.01894975990086229,0.5,1936.7,4,36.7,2.0,0.01894975990086229,0.5
Indonesia,2014,1690.5,2.0,1690.5,2.0,1.0,1.0,1690.5,2,1690.5,2.0,1.0,1.0
Indonesia,2015,,,,,,,191.0,1,191.0,1.0,1.0,1.0
Indonesia,2016,8068.8,5.0,210.8,1.0,0.026125322228832046,0.2,8068.8,5,210.8,1.0,0.026125322228832046,0.2
Indonesia,2017,8839.5,9.0,1162.5,5.0,0.13151196334634313,0.5555555555555556,8839.5,9,1162.5,5.0,0.13151196334634313,0.5555555555555556
Indonesia,2018,2605.0,4.0,580.0,2.0,0.22264875239923224,0.5,3425.1,5,1400.1,3.0,0.40877638609091704,0.6
Indonesia,2019,290.0,1.0,0.0,0.0,0.0,0.0,290.0,1,0.0,0.0,0.0,0.0
Indonesia,2021,150.0,1.0,150.0,1.0,1.0,1.0,150.0,1,150.0,1.0,1.0,1.0
Indonesia,2023,171.0,2.0,171.0,2.0,1.0,1.0,171.0,2,171.0,2.0,1.0,1.0
Indonesia,2024,146.0,2.0,146.0,2.0,1.0,1.0,146.0,2,146.0,2.0,1.0,1.0
"Iran, Islamic Rep.",2017,94.5,4.0,94.5,4.0,1.0,1.0,94.5,4,94.5,4.0,1.0,1.0
