Country,year,green_investment,green_share_value,country,resilience_score,Country Name,gdp_pc,rule_law,log_green,cluster
Brazil,2015,2174.7,0.8002340317488353,Brazil,1.6733871177867965,Brazil,1.2450436240877163,0.6292837292199933,7.685105730824157,0
Brazil,2016,4020.1,0.9711559367073318,Brazil,1.6733871177867965,Brazil,1.1414940317071616,0.8056878211412144,8.299310776023498,0
Brazil,2017,3333.6,0.991257805530776,Brazil,1.6733871177867965,Brazil,1.1560603029014522,0.5012723429003968,8.112108011126358,0
Brazil,2018,1808.22,0.5003071202085096,Brazil,1.6733871177867965,Brazil,1.1832465760246351,0.22347484752204996,7.500651092152359,0
Brazil,2019,1696.96,0.4831945694142302,Brazil,1.6733871177867965,Brazil,1.1974357219691527,0.2587515733607852,7.437182809467789,0
Brazil,2020,2925.07,0.673192836939336,Brazil,1.6733871177867965,Brazil,1.100221219313707,0.24495586993643745,7.981415504738885,0
Brazil,2021,2731.57,1.0,Brazil,1.6733871177867965,Brazil,1.205465611927122,0.20589035641088585,7.9129978372889,0
Brazil,2022,3416.09,1.0,Brazil,1.6733871177867965,Brazil,1.272751465319346,0.13524760432046137,8.136544590662195,0
Brazil,2023,3375.8500000000004,0.8512298750583104,Brazil,1.6733871177867965,Brazil,1.3467084893518873,0.03585723440337808,8.12469860127646,0
Brazil,2024,3910.62,1.0,Brazil,1.6733871177867965,Brazil,1.427246855625716,0.1205516612531094,8.271706889422287,0
Bulgaria,2010,166.83999999999995,1.0,Bulgaria,-0.5074485986758235,Bulgaria,0.5204829816557579,0.45752125262261195,5.123011144647987,2
Bulgaria,2011,569.69,1.0,Bulgaria,-0.5074485986758235,Bulgaria,0.5715107258779404,0.372592748218961,6.346846155048159,2
Bulgaria,2012,550.6800000000001,1.0,Bulgaria,-0.5074485986758235,Bulgaria,0.5969736457185322,0.6469766460384829,6.312968168035273,2
Bulgaria,2013,165.0,1.0,Bulgaria,-0.5074485986758235,Bulgaria,0.6256696083052443,0.6152166338562024,5.111987788356544,2
Bulgaria,2019,11.59,1.0,Bulgaria,-0.5074485986758235,Bulgaria,1.155448311937072,0.8240685129688633,2.532902848056256,2
Bulgaria,2022,106.39,1.0,Bulgaria,-0.5074485986758235,Bulgaria,1.4362404082767193,0.917935671737532,4.676467067870125,2
Bulgaria,2023,293.14,1.0,Bulgaria,-0.5074485986758235,Bulgaria,1.490968588210374,1.086450044756901,5.684055844472168,2
Bulgaria,2024,291.56,1.0,Bulgaria,-0.5074485986758235,Bulgaria,1.5891088774176239,1.070915771828119,5.678669773841126,2
Burkina Faso,2021,186.01,1.0,Burkina Faso,-0.7982266942041729,Burkina Faso,-1.1217468927048595,0.224440460898544,5.231162091360629,1
Burkina Faso,2022,46.4,1.0,Burkina Faso,-0.7982266942041729,Burkina Faso,-1.1232397299179753,-0.2947699412506506,3.858622228701031,1
Burkina Faso,2024,27.7,1.0,Burkina Faso,-0.7982266942041729,Burkina Faso,-1.1164412508092163,-0.8868167132574486,3.3568971227655755,1
Burundi,2020,15.7,1.0,Burundi,-0.7982266942041729,Burundi,-1.261028075334949,-1.8935240212993123,2.8154087194227095,1
Burundi,2023,1.0,1.0,Burundi,-0.7982266942041729,Burundi,-1.2606294749179336,-1.8627807258150624,0.6931471805599453,1
Burundi,2024,7.7,1.0,Burundi,-0.7982266942041729,Burundi,-1.2595147978121655,-1.8512067262545235,2.163323025660538,1
Cambodia,2010,0.0,0.0,Cambodia,-0.7982266942041729,Cambodia,-1.003163584730183,-1.6909963821853042,0.0,1
Cambodia,2012,0.0,,Cambodia,-0.7982266942041729,Cambodia,-0.9628824744515811,-1.3396169514527956,0.0,1
Cambodia,2017,12.5,1.0,Cambodia,-0.7982266942041729,Cambodia,-0.8303415984529173,-1.5867995984288172,2.6026896854443837,1
Cambodia,2020,45.0,1.0,Cambodia,-0.7982266942041729,Cambodia,-0.7856397993154169,-1.4908978560715576,3.828641396489095,1
Cambodia,2021,41.2,1.0,Cambodia,-0.7982266942041729,Cambodia,-0.7769334108382051,-1.4941422683340124,3.742420221041966,1
Cameroon,2010,0.0,0.0,Cameroon,-0.7982266942041729,Cameroon,-0.9641398372870469,-1.1796830548204122,0.0,1
Cameroon,2023,100.0,1.0,Cameroon,-0.7982266942041729,Cameroon,-0.9129138941704068,-1.7067548490368587,4.61512051684126,1
Chad,2020,150.0,1.0,Chad,-0.6528376464399982,Chad,-1.081434681011489,-1.921653597882447,5.017279836814924,1
Chad,2021,71.35,1.0,Chad,-0.6528376464399982,Chad,-1.0893674715659851,-1.9438419619533116,4.281515453077493,1
